empresa,categoria,ciudad,volumen_estimado,prioridad,dominio_probable,cargo_objetivo,departamento_objetivo,email_subject,email_body,icebreaker
"Grupo Salinas","Retail D2C / Distribuidor","CDMX","500-2,000/día","ALTA","gruposalinas.com.mx","Director de Logística","Operaciones","distribución masiva en 32 estados","Qué tal [nombre], Vi que Grupo Salinas expandió sus CEDIS en EdoMex. Con el volumen que manejan en múltiples categorías, el cuello de botella siempre es cobertura foránea confiable sin disparar costos. iMile está en +1300 ciudades, 32 estados. Tasa de entrega >98.5%. En picos (Buen Fin, Hot Sale) escalamos a 1 millón de paquetes/día sin fricción. Desconozco cómo lo están resolviendo hoy. ¿Abierto a una llamada de 10 minutos el martes 10am o jueves 4pm para explorar si hay gap? Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Vi que Grupo Salinas expandió sus CEDIS en EdoMex"
"Soriana Online","Retail D2C","CDMX","1,000-5,000/día","ALTA","soriana.com","Gerente de eCommerce / Fulfillment Manager","eCommerce","experiencia post-venta en nacional","Qué tal [nombre], Soriana Online está moviendo volumen serio en ropa y electrónica ligera. El reto típico: reseñas negativas por entregas, devoluciones que no llegan a tiempo. Nuestros clientes ven <0.01% en daños/pérdidas y rastreo real en red. +98.5% primer intento. ¿Cómo le están yendo en entregas foráneas? Puedo enviarte un resumen en 10 minutos el martes 10am o jueves 4pm. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Soriana Online está moviendo volumen serio en ropa y electrónica ligera"
"Chedraui Selecto","eCommerce/Retail","CDMX","800-3,000/día","ALTA","chedraui.com.mx","Director de Logística / Supply Chain Manager","Operaciones","recolección en cdmx escalable","Qué tal [nombre], Chedraui acaba de ampliar fulfillment en CDMX. Lo que ví: están moviendo paquetes pequeños a todo México, pero la recolección confiable y escalable en picos siempre es freno. iMile: 3 CDCs, +50 hubs, capacidad flexible. Bajamos tiempo de recolección a flujo, no cuello de botella. ¿Qué tan apretado están hoy en operaciones? Platicamos el martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Chedraui acaba de ampliar fulfillment en CDMX"
"Mercado Libre Sellers","Marketplace / D2C","Múltiples","300-8,000/día","ALTA","mercadolibre.com.mx","Director de Logística de Marketplace / Ops Manager","Operaciones","volumen masivo, cobertura nacional","Qué tal [nombre], Mercado Libre en México está en +70,000 vendedores. La mayoría en CDMX/EdoMex, todos compitiendo en velocidad y precio de envío. iMile: red propia en 32 estados, 1-2.3 días CDMX/EdoMex, costos ajustables por volumen. Escalamos sin fricción en Hot Sale. ¿Cómo ven opciones de logística tercerizada? Platicamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Mercado Libre en México está en +70,000 vendedores"
"Fashion ASOS","Fashion D2C","CDMX","400-1,500/día","ALTA","asos.com","Gerente de Logística / Supply Chain Manager","Logística","entregas rápidas en nacional","Qué tal [nombre], ASOS MX está ganando tracción en ropa y accesorios. Veo que disparan pedidos desde CDMX a nivel nacional. El cuello típico: cobertura foránea sin perder velocidad. iMile: 1-2.3 días CDMX/EdoMex, 3-7 en el resto, red propia 99.3%. Paquetes <20kg es nuestro sweet spot. ¿Qué tan satisfechos están con su 3PL actual? Platicamos el martes 10am o jueves 4pm. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","ASOS MX está ganando tracción en ropa y accesorios"
"Bésame Cosmetics","Belleza/Cosmética","CDMX","300-1,000/día","ALTA","besamecosmeticos.com","Gerente de eCommerce / Operaciones","eCommerce","devoluciones sin fricción","Qué tal [nombre], Bésame Cosmetics está ganando velocidad en D2C puro. Paquetes <5kg, múltiples envíos/día, y el reto clásico: manejar devoluciones en tiempo. iMile: especialistas en cosméticos y paquetes ligeros, devoluciones integradas, rastreo que no genera tickets de soporte. ¿Hoy cómo están cubriendo devoluciones en nacional? Platicamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Bésame Cosmetics está ganando velocidad en D2C puro"
"Farmacias Dr. Simi","Retail/eCommerce","CDMX","500-2,000/día","ALTA","drsimioficial.com","Director de Logística / eCommerce Ops","Logística","suplementos a todo méxico","Qué tal [nombre], Dr. Simi expandió tienda online agresiva en suplementos y salud. Volumen creciendo, SKUs pequeños, envíos a nivel nacional con agilidad regulatoria. iMile: red especializada en salud, experiencia con farmacias, cobertura en 32 estados sin compromiso en compliance. ¿Cómo les va hoy con entregas en provincias? Hablamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Dr. Simi expandió tienda online agresiva en suplementos y salud"
"Zapatos Andrea","Fashion Retail D2C","CDMX","300-1,200/día","ALTA","andreaonline.com.mx","Gerente de Fulfillment / Supply Chain Manager","Operaciones","picos de inventario sin stress","Qué tal [nombre], Andrea Online mueve volumen serio en calzado D2C. Tiendas físicas + online, y en campañas (rebajas, temporadas) el almacén se pone al rojo. iMile: manejamos picos de Buen Fin, Hot Sale, inventarios sin fricción. Capacidad elástica, no fija. ¿Qué tal les va con manejo de picos en recolección? Platicamos martes 10am o jueves 4pm. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Andrea Online mueve volumen serio en calzado D2C"
"Tienda Petz","Mascotas/Accesorios","EdoMex","200-800/día","ALTA","tiendapetz.com.mx","Gerente de Logística / eCommerce Manager","Operaciones","mascotas a todo méxico","Qué tal [nombre], Tienda Petz está moviendo alimento y accesorios para mascotas en línea. Paquetes pequeños, envíos a todo México, y el reto: garantizar que llegue bien a provincias. iMile: especialistas en paquetes pequeños, cobertura foránea con tasa de éxito >98.5%. ¿Hoy cómo ven la cobertura en provincias? Platicamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Tienda Petz está moviendo alimento y accesorios para mascotas en línea"
"Bodytech México","Suplementos/Salud","EdoMex","200-1,000/día","ALTA","bodytechmx.com","Director de Operaciones / Fulfillment Manager","Operaciones","suplementos gym a nivel nacional","Qué tal [nombre], Bodytech México está ganando en D2C puro, suplementos y nutrition. Paquetes <10kg, envíos a todo México, y en Black Friday/Cyber disparan volumen. iMile: red de 32 estados, escalamos sin cuello de botella en picos, daños <0.01%. ¿Cómo les va hoy con manejo de picos? Hablamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Bodytech México está ganando en D2C puro, suplementos y nutrition"
