empresa,dominio,categoria,ciudad,volumen_estimado,tamaño_empresa,contacto_nombre,contacto_email,contacto_linkedin,contacto_telefono,posicion,departamento,empresa_linkedin,email_subject,email_message,linkedin_message,estado
"Soriana Online","soriana.com","Retail D2C","CDMX","1,000-5,000/día","10,000+","[NOMBRE CONTACTO]","[NOMBRE]@soriana.com","https://linkedin.com/in/[NOMBRE]","","Gerente eCommerce / Fulfillment Manager","eCommerce","https://linkedin.com/company/soriana","experiencia post-venta en nacional","Qué tal [NOMBRE], Soriana Online está moviendo volumen serio en ropa y electrónica ligera. El reto típico: reseñas negativas por entregas, devoluciones que no llegan a tiempo. Nuestros clientes ven <0.01% en daños/pérdidas y rastreo real en red. +98.5% primer intento. ¿Cómo le están yendo en entregas foráneas? Puedo enviarte un resumen en 10 minutos el martes 10am o jueves 4pm. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Vi que Soriana está escalando en eCommerce. +98.5% éxito en entregas y <0.01% daños. ¿10 min martes 10am? Javier · iMile","PENDIENTE"
"Mercado Libre Sellers","mercadolibre.com.mx","Marketplace / D2C","Múltiples","300-8,000/día","50,000+","[NOMBRE CONTACTO]","[NOMBRE]@mercadolibre.com","https://linkedin.com/in/[NOMBRE]","","Director Logística / Ops Manager","Operaciones","https://linkedin.com/company/mercado-libre","volumen masivo, cobertura nacional","Qué tal [NOMBRE], Mercado Libre en México está en +70,000 vendedores. La mayoría en CDMX/EdoMex, todos compitiendo en velocidad y precio de envío. iMile: red propia en 32 estados, 1-2.3 días CDMX/EdoMex, costos ajustables por volumen. Escalamos sin fricción en Hot Sale. ¿Cómo ven opciones de logística tercerizada? Platicamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], +70K vendedores en ML. iMile: 32 estados, 1-2.3 días CDMX. ¿10 min? Javier · iMile","PENDIENTE"
"Chedraui Selecto","chedraui.com.mx","eCommerce/Retail","CDMX","800-3,000/día","5,000+","[NOMBRE CONTACTO]","[NOMBRE]@chedraui.com.mx","https://linkedin.com/in/[NOMBRE]","","Director Logística / Supply Chain Manager","Operaciones","https://linkedin.com/company/chedraui","recolección en cdmx escalable","Qué tal [NOMBRE], Chedraui acaba de ampliar fulfillment en CDMX. Lo que ví: están moviendo paquetes pequeños a todo México, pero la recolección confiable y escalable en picos siempre es freno. iMile: 3 CDCs, +50 hubs, capacidad flexible. Bajamos tiempo de recolección a flujo, no cuello de botella. ¿Qué tan apretado están hoy en operaciones? Platicamos el martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Chedraui expande fulfillment. iMile: 3 CDCs + 50 hubs. Escalamos picos sin fricción. ¿10 min? Javier · iMile","PENDIENTE"
"Ripley Online","ripley.com.mx","Retail D2C","CDMX","600-2,500/día","8,000+","[NOMBRE CONTACTO]","[NOMBRE]@ripley.com.mx","https://linkedin.com/in/[NOMBRE]","","Gerente Logística / Supply Chain Manager","Logística","https://linkedin.com/company/ripley","electrónica pequeña sin fricciones","Qué tal [NOMBRE], Ripley Online está en electrónica y ropa con volumen nacional. Lo que ví: en picos de campaña, recolección y distribución se ponen tensos. iMile: +1300 ciudades, 32 estados, 3 CDCs para escalar sin fricción. Daños <0.01%, tasa éxito >98.5%. ¿Qué tan satisfechos están con su proveedor actual? Platicamos martes 10am o jueves 4pm. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Ripley Online nacional. iMile: +1300 ciudades, >98.5% éxito. ¿10 min? Javier · iMile","PENDIENTE"
"Grupo Salinas","gruposalinas.com.mx","Retail D2C / Distribuidor","CDMX","500-2,000/día","3,000+","[NOMBRE CONTACTO]","[NOMBRE]@gruposalinas.com.mx","https://linkedin.com/in/[NOMBRE]","","Director Logística","Operaciones","https://linkedin.com/company/grupo-salinas","distribución masiva en 32 estados","Qué tal [NOMBRE], Vi que Grupo Salinas expandió sus CEDIS en EdoMex. Con el volumen que manejan en múltiples categorías, el cuello de botella siempre es cobertura foránea confiable sin disparar costos. iMile está en +1300 ciudades, 32 estados. Tasa de entrega >98.5%. En picos (Buen Fin, Hot Sale) escalamos a 1 millón de paquetes/día sin fricción. Desconozco cómo lo están resolviendo hoy. ¿Abierto a una llamada de 10 minutos el martes 10am o jueves 4pm para explorar si hay gap? Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Grupo Salinas + 32 estados. iMile: >98.5% éxito, 1M paquetes/día picos. ¿10 min? Javier · iMile","PENDIENTE"
"Bésame Cosmetics","besamecosmeticos.com","Belleza/Cosmética","CDMX","300-1,000/día","200+","[NOMBRE CONTACTO]","[NOMBRE]@besamecosmeticos.com","https://linkedin.com/in/[NOMBRE]","","Gerente eCommerce / Operaciones","eCommerce","https://linkedin.com/company/besame-cosmetics","devoluciones sin fricción","Qué tal [NOMBRE], Bésame Cosmetics está ganando velocidad en D2C puro. Paquetes <5kg, múltiples envíos/día, y el reto clásico: manejar devoluciones en tiempo. iMile: especialistas en cosméticos y paquetes ligeros, devoluciones integradas, rastreo que no genera tickets de soporte. ¿Hoy cómo están cubriendo devoluciones en nacional? Platicamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Bésame D2C. iMile: especialistas cosmética, devoluciones integradas. ¿10 min? Javier · iMile","PENDIENTE"
"Farmacias Dr. Simi","drsimioficial.com","Retail/eCommerce","CDMX","500-2,000/día","2,000+","[NOMBRE CONTACTO]","[NOMBRE]@drsimioficial.com","https://linkedin.com/in/[NOMBRE]","","Director Logística / eCommerce Ops","Logística","https://linkedin.com/company/dr-simi","suplementos a todo méxico","Qué tal [NOMBRE], Dr. Simi expandió tienda online agresiva en suplementos y salud. Volumen creciendo, SKUs pequeños, envíos a nivel nacional con agilidad regulatoria. iMile: red especializada en salud, experiencia con farmacias, cobertura en 32 estados sin compromiso en compliance. ¿Cómo les va hoy con entregas en provincias? Hablamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Dr. Simi online. iMile: especialistas salud, 32 estados, compliance OK. ¿10 min? Javier · iMile","PENDIENTE"
"Zapatos Andrea","andreaonline.com.mx","Fashion Retail D2C","CDMX","300-1,200/día","1,500+","[NOMBRE CONTACTO]","[NOMBRE]@andreaonline.com.mx","https://linkedin.com/in/[NOMBRE]","","Gerente Fulfillment / Supply Chain Manager","Operaciones","https://linkedin.com/company/zapatos-andrea","picos de inventario sin stress","Qué tal [NOMBRE], Andrea Online mueve volumen serio en calzado D2C. Tiendas físicas + online, y en campañas (rebajas, temporadas) el almacén se pone al rojo. iMile: manejamos picos de Buen Fin, Hot Sale, inventarios sin fricción. Capacidad elástica, no fija. ¿Qué tal les va con manejo de picos en recolección? Platicamos martes 10am o jueves 4pm. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Andrea calzado D2C. iMile: picos sin fricción, capacidad elástica. ¿10 min? Javier · iMile","PENDIENTE"
"Tienda Petz","tiendapetz.com.mx","Mascotas/Accesorios","EdoMex","200-800/día","800+","[NOMBRE CONTACTO]","[NOMBRE]@tiendapetz.com.mx","https://linkedin.com/in/[NOMBRE]","","Gerente Logística / eCommerce Manager","Operaciones","https://linkedin.com/company/tienda-petz","mascotas a todo méxico","Qué tal [NOMBRE], Tienda Petz está moviendo alimento y accesorios para mascotas en línea. Paquetes pequeños, envíos a todo México, y el reto: garantizar que llegue bien a provincias. iMile: especialistas en paquetes pequeños, cobertura foránea con tasa de éxito >98.5%. ¿Hoy cómo ven la cobertura en provincias? Platicamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Petz mascotas online. iMile: paquetes pequeños, >98.5% éxito foránea. ¿10 min? Javier · iMile","PENDIENTE"
"Bodytech México","bodytechmx.com","Suplementos/Salud","EdoMex","200-1,000/día","600+","[NOMBRE CONTACTO]","[NOMBRE]@bodytechmx.com","https://linkedin.com/in/[NOMBRE]","","Director Operaciones / Fulfillment Manager","Operaciones","https://linkedin.com/company/bodytech-mexico","suplementos gym a nivel nacional","Qué tal [NOMBRE], Bodytech México está ganando en D2C puro, suplementos y nutrition. Paquetes <10kg, envíos a todo México, y en Black Friday/Cyber disparan volumen. iMile: red de 32 estados, escalamos sin cuello de botella en picos, daños <0.01%. ¿Cómo les va hoy con manejo de picos? Hablamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], Bodytech D2C. iMile: 32 estados, picos sin cuello botella. ¿10 min? Javier · iMile","PENDIENTE"
"Autopartes YPF","ypfautopartes.com.mx","Autopartes Ligeras","EdoMex","200-800/día","500+","[NOMBRE CONTACTO]","[NOMBRE]@ypfautopartes.com.mx","https://linkedin.com/in/[NOMBRE]","","Gerente Logística / Operaciones","Operaciones","https://linkedin.com/company/autopartes-ypf","autopartes ligeras en nacional","Qué tal [NOMBRE], YPF distribuye autopartes ligeras a taller y consumidor final. Volumen consistente, SKUs pequeños, cobertura nacional. iMile: especialistas en autopartes, cobertura en 32 estados, visibilidad de red real, daños <0.01%. ¿Cómo les va hoy con entregas a provincias? Platicamos martes 10am o jueves 4pm, 10 minutos. Javier Malpica H. Commercial Team Lead iMile Delivery Services Mexico","Hola [NOMBRE], YPF autopartes. iMile: especialistas autopartes, 32 estados, <0.01% daños. ¿10 min? Javier · iMile","PENDIENTE"
