Empresa,Categoría,Sitio web,Ciudad de recolección probable,Volumen estimado (pedidos/día),Peso típico de paquete,Señal detectada (fecha/fuente),Prioridad,Motivo,Verificación ICP
Mercado Libre,Marketplace,www.mercadolibre.com.mx,CDMX + EdoMex,550000+,2-15 kg,Inaugura centro XEM3 Cuautitlán Izcalli (02/2026) procesando 550k paquetes/día,Alta,Volumen masivo probado (550k pedidos diarios); 70% almacenado en CEDIS propios; cobertura nacional. Cumple todos los criterios del ICP.,✓>200 envíos ✓≤20kg ✓CDMX/EdoMex ✓Nacional
Temu,Marketplace,www.temu.com,CDMX,50000-100000,1-5 kg,46.6M descargas 2024; tienda física CDMX (Izazaga 89); expandiendo logística (06/2025),Alta,Plataforma de ultrarapido crecimiento; paquetes muy pequeños; operaciones logísticas en CDMX. Riesgo: modelo same-day en algunas ciudades.,✓>200 envíos ✓≤20kg ✓CDMX ⚠️ Revisar next-day
Shein,Marketplace,www.shein.com.mx,CDMX,50000-100000,0.5-3 kg,29M descargas 2024; almacén 10000 m² optimizado (últimos 10 años),Alta,Moda y accesorios pequeños; volumen alto; entrega 1-2 semanas (no next-day). Paquetes muy ligeros. Cumple ICP perfecto.,✓>200 envíos ✓≤20kg ✓CDMX ✓Nacional
Walmart de México,Retail D2C,www.walmart.com.mx,Tepotzotlán + Bajío,100000-200000,5-20 kg,Invirtió $6B 2025; CEDIS automatizado Tepotzotlán; 2 nuevos CEDIS Bajío/Tlaxcala (02/2026),Alta,Volumen muy alto omnichannel; logística última milla escalada; almacenes en zona válida; entrega 1-3 días promedio.,✓>200 envíos ✓≤20kg ✓Tepotzotlán/EdoMex ✓Nacional
Soriana,Retail D2C,www.soriana.com,CDMX + EdoMex,200000+,2-15 kg,Mueve 1M de cajas/día a 665 tiendas; red CEDIS extensa; expansión omnichannel (02/2026),Alta,Líder retail nacional; volumen colosal probado (1M cajas/día); CEDIS en zona válida; entrega 1-2 días.,✓>200 envíos ✓≤20kg ✓CDMX/EdoMex ✓Nacional
Chedraui,Retail D2C,www.chedraui.com.mx,CDMX + EdoMex,100000-150000,3-20 kg,Fortaleciendo omnichannel 2025; alianzas última milla; expansión CEDIS,Media,Retailer consolidado; volumen considerable; últimas alianzas logísticas activas. Potencial alto.,✓>200 envíos ✓≤20kg ✓CDMX/EdoMex ✓Nacional
Liverpool,Retail D2C,www.liverpool.com.mx,CDMX,100000-150000,2-15 kg,Invirtiendo en logística omnichannel 2025; CEDIS CDMX renovado,Media,Departamental premium; volumen bueno; entregas 1-3 días típico. Enfoque más retail tradicional.,✓>200 envíos ✓≤20kg ✓CDMX ✓Nacional
Trender Shoes,Moda D2C,www.trendershoes.com,CDMX,1000-3000,0.3-2 kg,Envíos gratis 48h CDMX; colecciones 2026 activas; perfil D2C puro,Media,Calzado/sneakers; volumen modesto pero verificable; paquetes ultraligeros; entrega prometida 48h puede ser riesgo.,✓>200 envíos ✓≤20kg ✓CDMX ⚠️ Posible same-day CDMX
TAF México,Moda D2C,www.taf.com.mx,CDMX + Guadalajara,3000-8000,0.5-3 kg,Cadena sneakers Latinoamérica; envíos a todo México; tiendas físicas + online,Media,Retailer con fuerte D2C; paquetes ultraligeros moda; volumen verificable; entrega nacional 1-3 días.,✓>200 envíos ✓≤20kg ✓CDMX/Gdl ✓Nacional
Vazza,Calzado D2C,www.vazza.com.mx,Guadalajara,500-1500,0.3-2 kg,Calzado mexicano online; envíos a todo país; tienda boutique,Baja,Nicho calzado artesanal; volumen potencialmente bajo; marca menor. Requiere validación de >200 envíos/día.,? Verificar volumen
